stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,en,1,0,The MultiplEYE Project
1,PopSci_MultiplEYE,en,1,1,"The name ""MultiplEYE"" is a wordplay combining ""multilingualism"" or ""multiple languages"" with ""eye"" from ""eye-tracking""."
1,PopSci_MultiplEYE,en,1,2,MultiplEYE is a COST Action funded by the European Union.
1,PopSci_MultiplEYE,en,1,3,COST Actions are research networks supported by the European Cooperation in Science and Technology or COST for short.
1,PopSci_MultiplEYE,en,1,4,"As a funding organisation, COST supports our growing network of researchers across Europe and beyond by providing financial assistance for conducting different networking activities."
1,PopSci_MultiplEYE,en,2,5,"These activities include working group meetings, training schools to share skills with younger researchers, and scientific research visits."
1,PopSci_MultiplEYE,en,2,6,The project title of the MultiplEYE COST Action is: Enabling multilingual eye-tracking data collection for human and machine language processing research.
1,PopSci_MultiplEYE,en,2,7,This means that the MultiplEYE COST Action aims to foster an interdisciplinary network of research groups working on collecting eye-tracking data from reading in multiple languages.
1,PopSci_MultiplEYE,en,3,8,"The goal is to support the development of a large multilingual eye-tracking corpus and enable researchers to collect data by sharing their knowledge between various fields, including linguistics, psychology, speech and language pathology, and computer science."
1,PopSci_MultiplEYE,en,3,9,This data collection can then be used to study human language processing from a psycholinguistic perspective as well as to improve and evaluate computational language processing from a machine-learning perspective.
1,PopSci_MultiplEYE,en,4,10,"What is ""eye-tracking""?"
1,PopSci_MultiplEYE,en,4,11,Eye-tracking is the process of measuring the point of gaze - where you are looking - and the movements of the eyes between fixed points of gaze.
1,PopSci_MultiplEYE,en,4,12,The device used to measure the eye positions and eye movements is called an eye-tracker.
1,PopSci_MultiplEYE,en,4,13,"It consists of an infrared camera, using a light frequency that does not bother or hurt the human eye."
1,PopSci_MultiplEYE,en,5,14,"With the help of image recognition algorithms, the eye-tracker can estimate gaze points very accurately by knowing the position of the head and eyes, the distance to the screen a participant is looking at and the eye-tracker's position."
1,PopSci_MultiplEYE,en,5,15,Eye-tracking is a helpful technology for many applications.
