stimulus_id,stimulus_name,language,screen_id,global_sent_index,text
1,PopSci_MultiplEYE,ca,1,0,El Projecte MultiplEYE
1,PopSci_MultiplEYE,ca,1,1,"El nom ""MultiplEYE"" és un joc de paraules que combina ""multilingüisme"" o ""múltiples idiomes"" amb ""eye"" de ""eye-tracking"" (seguiment ocular)."
1,PopSci_MultiplEYE,ca,1,2,MultiplEYE és una Acció COST finançada per la Unió Europea.
1,PopSci_MultiplEYE,ca,1,3,"Les Accions COST són xarxes de recerca recolzades per la Cooperació Europea en Ciència i Tecnologia, o COST per abreviar."
1,PopSci_MultiplEYE,ca,1,4,"Com a organització de finançament, COST dona suport a la nostra creixent xarxa d'investigadors a tot Europa i més enllà, proporcionant assistència financera per dur a terme diverses activitats de col·laboració."
1,PopSci_MultiplEYE,ca,2,5,"Aquestes activitats inclouen reunions de grups de treball, escoles de formació per compartir habilitats amb investigadors més joves i visites d'investigació científica."
1,PopSci_MultiplEYE,ca,2,6,El títol del projecte de l'Acció COST MultiplEYE és: facilitar la recopilació de dades de seguiment ocular multilingüe per a la recerca del processament del llenguatge humà i de màquines.
1,PopSci_MultiplEYE,ca,2,7,Això significa que l'objectiu de l'Acció COST MultiplEYE és fomentar una xarxa interdisciplinària de grups de recerca que treballin en la recopilació de dades de seguiment ocular de la lectura en diversos idiomes.
1,PopSci_MultiplEYE,ca,3,8,"L'objectiu és recolzar el desenvolupament d'un gran corpus de seguiment ocular multilingüe i permetre als investigadors recopilar dades compartint els seus coneixements entre diversos camps, incloent-hi la lingüística, la psicologia, la patologia de la parla i del llenguatge, i la informàtica."
1,PopSci_MultiplEYE,ca,3,9,"Aquesta recopilació de dades es pot utilitzar per estudiar el processament del llenguatge humà des d'una perspectiva psicolingüística, així com per millorar i avaluar el processament del llenguatge computacional des d'una perspectiva d'aprenentatge automàtic."
1,PopSci_MultiplEYE,ca,4,10,Què és el 'seguiment ocular'?
1,PopSci_MultiplEYE,ca,4,11,"El seguiment ocular és el procés de mesurar el punt de mira, és a dir, cap a on s’està mirant, i els moviments dels ulls entre punts fixos  de la mirada."
1,PopSci_MultiplEYE,ca,4,12,El dispositiu utilitzat per mesurar les posicions i moviments dels ulls es diu seguidor ocular.
1,PopSci_MultiplEYE,ca,4,13,Consisteix en una càmera d'infrarojos que utilitza una freqüència de llum que no molesta ni danya l'ull humà.
